Source	Target	Date-Time
19	17	2004-03-27T07:29:29Z
19	17	2004-03-27T07:29:54Z
17	17	2004-03-28T11:26:34Z
19	17	2004-04-03T09:20:39Z
20829	17	2015-03-18T03:55:57Z
23540	17	2015-04-18T21:26:30Z
20829	17	2015-04-19T10:01:13Z
32	32	2004-04-02T11:12:55Z
19	33	2004-04-03T09:09:11Z
19	31	2004-04-03T09:13:28Z
19	28	2004-04-03T09:19:42Z
20829	28	2015-03-18T03:54:55Z
23540	28	2015-04-18T21:26:11Z
20829	28	2015-04-19T10:01:02Z
3	19	2004-04-04T20:24:08Z
3	19	2004-06-06T10:21:40Z
19	19	2004-08-07T21:13:42Z
124	19	2005-03-29T21:54:30Z
19	19	2005-03-30T18:31:02Z
124	19	2005-03-30T19:51:20Z
19	19	2005-03-31T15:25:57Z
69	19	2005-04-01T14:39:38Z
11212	19	2011-01-09T14:17:19Z
19	19	2011-01-14T22:13:53Z
18118	19	2014-08-14T04:33:15Z
19	3	2004-04-05T03:22:24Z
45	3	2004-06-26T21:05:53Z
45	3	2004-06-26T21:06:34Z
3	3	2004-06-26T21:09:12Z
45	3	2004-06-26T21:25:54Z
3	3	2004-06-26T21:33:04Z
45	3	2004-06-26T22:08:46Z
45	3	2004-07-10T22:33:59Z
3	3	2004-07-11T10:19:49Z
45	3	2004-07-16T17:50:27Z
69	3	2004-07-20T11:15:06Z
69	3	2004-07-20T11:16:25Z
74	3	2004-08-01T21:13:07Z
95	3	2004-10-30T01:16:12Z
124	3	2005-02-21T09:13:57Z
124	3	2005-03-05T06:44:11Z
102	3	2006-02-25T21:18:30Z
125	3	2006-02-28T00:56:26Z
102	3	2006-02-28T10:42:01Z
3	3	2008-09-27T18:15:26Z
3	3	2008-09-27T18:16:02Z
125	3	2008-09-27T19:28:08Z
125	3	2008-09-27T19:29:19Z
3	3	2008-09-27T20:13:45Z
125	3	2008-09-27T21:21:10Z
554	3	2008-09-28T06:42:35Z
45	2	2004-05-21T23:23:56Z
2	2	2004-05-24T18:36:58Z
45	27	2004-05-22T10:53:43Z
45	27	2004-05-22T10:53:49Z
20829	27	2015-03-18T03:55:04Z
23540	27	2015-04-18T21:26:15Z
20829	27	2015-04-19T10:01:02Z
45	38	2004-05-22T10:56:02Z
20829	38	2015-03-18T03:54:51Z
23540	38	2015-04-18T21:26:19Z
20829	38	2015-04-19T10:01:07Z
45	25	2004-05-22T11:01:37Z
7	45	2004-06-01T08:19:14Z
45	45	2004-06-01T14:24:37Z
3	45	2004-06-26T21:12:16Z
3	45	2004-06-26T21:37:05Z
45	45	2004-06-26T23:31:35Z
65	45	2004-07-14T11:07:38Z
3	45	2004-07-16T18:55:59Z
45	45	2004-07-16T19:16:29Z
19	45	2004-09-18T20:28:14Z
19	45	2004-09-18T20:29:09Z
85	45	2004-09-24T17:43:57Z
45	45	2004-09-25T12:42:23Z
45	45	2004-09-25T12:42:42Z
88	45	2004-09-27T04:53:06Z
76	45	2004-11-13T00:16:52Z
102	45	2004-11-18T12:25:58Z
45	45	2004-11-19T17:41:23Z
102	45	2004-11-19T22:24:36Z
45	45	2004-11-20T00:15:50Z
102	45	2004-11-22T23:22:30Z
102	45	2004-11-28T11:58:30Z
102	45	2004-11-28T12:01:30Z
102	45	2004-11-28T12:10:16Z
45	45	2004-11-28T12:28:16Z
102	45	2004-11-30T21:11:41Z
102	45	2004-11-30T22:32:42Z
45	45	2004-12-01T00:11:18Z
114	45	2004-12-10T11:56:37Z
102	45	2004-12-22T14:52:58Z
45	45	2004-12-22T19:29:41Z
45	45	2005-01-15T05:01:54Z
45	45	2005-01-15T05:03:38Z
102	45	2005-01-15T22:24:33Z
124	45	2005-01-29T08:40:16Z
124	45	2005-02-01T10:56:18Z
124	45	2005-02-06T09:51:20Z
125	45	2005-02-15T13:51:32Z
45	45	2005-02-23T23:09:08Z
102	45	2005-03-21T20:34:39Z
125	45	2006-06-19T11:26:43Z
397	45	2007-11-10T21:29:44Z
45	45	2007-11-17T00:33:22Z
397	45	2007-11-17T00:43:27Z
397	45	2007-11-17T08:51:26Z
102	45	2007-11-17T12:31:06Z
11212	45	2011-01-09T14:17:54Z
125	45	2013-04-26T14:41:31Z
45	45	2013-05-11T19:48:02Z
20829	45	2015-03-18T03:55:35Z
45	72	2004-07-24T23:59:59Z
74	74	2004-07-30T01:24:39Z
23540	74	2015-04-18T21:26:24Z
3	69	2004-08-01T16:26:50Z
88	88	2004-09-24T08:48:48Z
88	88	2004-09-24T21:37:34Z
88	88	2004-09-24T21:38:21Z
88	88	2004-09-24T21:40:21Z
45	88	2004-09-25T12:59:41Z
89	89	2004-10-16T09:45:23Z
116	116	2004-12-12T00:29:35Z
124	124	2005-01-07T19:33:00Z
102	124	2005-01-15T22:28:14Z
124	124	2005-01-15T22:29:52Z
125	124	2005-01-17T18:59:33Z
124	124	2005-01-28T20:39:39Z
124	124	2005-01-29T14:03:47Z
125	124	2005-01-31T17:42:51Z
124	124	2005-02-01T12:42:49Z
102	124	2005-02-01T12:55:35Z
125	124	2005-02-01T15:17:49Z
124	124	2005-02-01T17:14:38Z
124	124	2005-02-02T18:31:22Z
125	124	2005-02-05T01:16:39Z
124	124	2005-02-05T22:24:54Z
124	124	2005-02-05T22:35:35Z
124	124	2005-02-05T22:59:15Z
125	124	2005-02-05T23:49:24Z
124	124	2005-02-06T08:47:27Z
125	124	2005-02-06T13:49:12Z
124	124	2005-02-06T14:06:54Z
125	124	2005-02-06T15:46:33Z
124	124	2005-02-06T15:51:41Z
124	124	2005-02-08T23:10:26Z
124	124	2005-02-09T21:02:44Z
125	124	2005-02-12T02:00:44Z
124	124	2005-02-12T09:19:53Z
102	124	2005-02-14T11:42:19Z
124	124	2005-02-14T17:41:12Z
124	124	2005-02-14T17:42:59Z
45	124	2005-02-15T01:25:07Z
124	124	2005-02-15T09:33:23Z
125	124	2005-02-16T23:08:45Z
124	124	2005-02-17T08:36:34Z
140	124	2005-02-17T22:39:03Z
124	124	2005-02-18T08:48:00Z
125	124	2005-02-21T21:55:06Z
124	124	2005-02-21T22:00:24Z
102	124	2005-02-23T08:31:19Z
124	124	2005-02-23T09:41:36Z
125	124	2005-02-25T23:22:10Z
125	124	2005-02-28T01:12:40Z
124	124	2005-02-28T07:57:40Z
102	124	2005-02-28T23:02:30Z
124	124	2005-03-02T09:00:06Z
125	124	2005-03-02T13:18:45Z
125	124	2005-03-04T14:49:32Z
124	124	2005-03-04T15:16:52Z
125	124	2005-03-04T17:39:57Z
124	124	2005-03-04T17:45:12Z
124	124	2005-03-08T19:42:29Z
124	124	2005-03-09T07:58:51Z
125	124	2005-03-10T22:00:34Z
124	124	2005-03-11T08:30:04Z
124	124	2005-03-14T21:16:08Z
124	124	2005-03-15T10:44:40Z
102	124	2005-03-22T12:02:53Z
124	124	2005-03-22T12:34:42Z
19	124	2005-03-28T12:44:22Z
125	124	2005-03-31T13:43:11Z
124	124	2005-04-03T21:28:23Z
102	124	2005-04-06T21:56:54Z
124	124	2005-04-06T23:32:05Z
125	124	2005-04-10T01:23:54Z
125	124	2005-04-10T11:36:47Z
125	124	2005-04-10T11:38:57Z
125	124	2005-04-15T16:46:34Z
125	124	2005-04-19T14:18:12Z
124	124	2005-04-19T14:29:18Z
125	124	2005-04-19T14:52:09Z
102	124	2005-04-19T14:59:46Z
124	124	2005-04-20T07:04:50Z
124	124	2005-04-20T10:09:06Z
125	124	2005-04-20T16:50:35Z
102	124	2005-04-23T21:07:21Z
124	124	2005-04-23T21:09:08Z
125	124	2005-04-26T15:48:17Z
102	124	2005-04-26T21:27:27Z
125	124	2005-04-28T14:34:06Z
102	124	2005-04-29T15:57:25Z
102	124	2005-04-29T21:58:25Z
102	124	2005-04-30T20:54:17Z
124	124	2005-05-01T05:29:59Z
102	124	2005-05-01T09:21:42Z
125	124	2005-05-02T14:40:11Z
124	124	2005-05-18T05:43:06Z
124	124	2005-05-22T09:07:20Z
102	124	2005-06-15T22:03:51Z
124	124	2005-06-16T11:15:22Z
124	124	2005-06-16T23:17:47Z
102	124	2005-06-19T17:23:52Z
124	124	2005-06-20T08:35:59Z
125	6	2005-01-17T15:44:00Z
125	6	2005-01-17T16:10:11Z
124	125	2005-01-17T23:03:23Z
125	125	2005-01-28T17:46:37Z
102	125	2005-01-28T22:06:23Z
102	125	2005-01-28T22:08:12Z
102	125	2005-01-28T22:20:02Z
124	125	2005-01-30T19:02:41Z
124	125	2005-02-01T11:28:33Z
125	125	2005-02-01T15:13:51Z
124	125	2005-02-05T08:25:07Z
125	125	2005-02-05T18:07:08Z
124	125	2005-02-07T11:20:30Z
124	125	2005-02-07T15:22:04Z
124	125	2005-02-08T08:14:06Z
125	125	2005-02-08T12:37:33Z
124	125	2005-02-09T21:10:37Z
102	125	2005-02-12T22:54:21Z
125	125	2005-02-13T12:42:43Z
124	125	2005-03-07T21:41:43Z
124	125	2005-03-07T21:43:15Z
124	125	2005-03-07T21:45:13Z
125	125	2005-03-07T22:10:26Z
124	125	2005-03-14T09:33:48Z
124	125	2005-03-19T21:15:44Z
124	125	2005-03-22T13:02:12Z
19	125	2005-03-23T19:02:38Z
19	125	2005-03-23T19:28:31Z
124	125	2005-03-23T21:15:42Z
102	125	2005-03-23T23:19:50Z
