Source	Target	Date-Time
4	4	2003-11-08T12:21:00Z
5	4	2003-11-08T12:48:02Z
4	4	2003-11-08T12:50:21Z
6	4	2003-11-08T13:15:53Z
6	4	2003-11-08T13:16:35Z
4	4	2003-11-08T15:42:38Z
4	4	2003-11-08T15:43:56Z
12	4	2003-11-24T00:47:57Z
5	4	2003-11-29T11:33:57Z
4	4	2003-11-29T15:21:34Z
7	4	2003-12-16T13:43:16Z
4	4	2003-12-16T17:20:10Z
4	4	2004-02-07T13:19:15Z
46	4	2004-09-02T22:43:38Z
25	4	2005-12-09T13:47:46Z
4	4	2005-12-15T21:32:03Z
130	4	2006-03-16T10:36:38Z
130	4	2006-03-16T10:40:46Z
56	4	2006-03-26T11:09:35Z
130	4	2006-03-26T11:12:42Z
130	4	2006-03-26T11:13:42Z
130	4	2006-03-26T22:42:04Z
56	4	2006-04-21T00:48:02Z
130	4	2006-09-28T17:08:46Z
286	4	2007-06-11T01:37:39Z
130	4	2008-10-14T20:33:28Z
18686	4	2015-03-18T04:22:44Z
22848	4	2015-04-18T21:35:12Z
18686	4	2015-04-19T10:09:15Z
4	7	2003-11-08T15:48:55Z
7	7	2003-11-08T16:08:02Z
4	7	2003-11-08T16:57:59Z
7	7	2003-11-08T17:00:13Z
4	7	2003-11-11T20:10:23Z
7	7	2003-11-11T20:32:44Z
4	7	2003-11-12T19:46:20Z
4	7	2003-11-12T20:04:04Z
7	7	2003-11-12T21:22:07Z
130	7	2005-12-20T10:47:28Z
18686	7	2015-03-18T04:23:13Z
22848	7	2015-04-18T21:35:12Z
18686	7	2015-04-19T10:09:27Z
8	8	2003-11-08T17:39:17Z
8	8	2005-06-04T19:33:36Z
130	8	2009-10-23T13:00:25Z
1	1	2003-12-03T08:13:10Z
37	5	2004-04-08T17:42:45Z
37	5	2004-04-08T17:44:37Z
4	46	2004-08-30T09:36:18Z
18686	46	2015-03-18T04:23:19Z
22848	46	2015-04-18T21:35:16Z
18686	46	2015-04-19T10:09:30Z
48	48	2004-10-16T09:46:53Z
66	63	2005-02-13T01:25:19Z
130	56	2006-03-06T19:13:52Z
128	56	2006-03-10T19:31:56Z
130	56	2006-03-10T21:45:24Z
130	56	2006-03-11T16:32:57Z
130	56	2006-03-11T16:33:25Z
128	56	2006-03-15T21:57:58Z
130	56	2006-03-16T19:13:36Z
130	56	2006-03-18T18:12:42Z
56	56	2006-03-19T15:52:35Z
130	56	2006-03-19T18:49:09Z
130	56	2006-03-20T05:10:15Z
128	56	2006-04-03T13:55:02Z
128	56	2006-04-08T12:01:51Z
128	56	2006-04-19T17:18:10Z
128	56	2006-04-22T13:32:16Z
128	56	2006-04-22T14:36:03Z
128	56	2006-04-29T09:36:39Z
130	56	2006-05-04T06:59:52Z
130	56	2006-05-04T10:48:35Z
128	56	2006-05-06T10:24:42Z
128	56	2006-05-21T13:51:15Z
130	56	2006-05-23T06:31:04Z
130	56	2006-05-23T14:00:54Z
130	56	2006-05-23T14:33:38Z
69	56	2006-05-24T06:17:06Z
128	56	2006-05-24T13:04:34Z
128	56	2006-05-31T23:02:25Z
69	56	2006-06-01T16:25:19Z
130	56	2006-06-05T06:09:00Z
130	56	2006-06-05T06:09:52Z
130	56	2006-06-14T20:33:52Z
130	56	2006-06-14T20:50:32Z
128	56	2006-06-17T13:57:23Z
130	56	2006-08-27T22:31:54Z
130	56	2006-09-07T21:45:51Z
130	56	2006-09-09T01:34:26Z
130	56	2006-09-19T11:05:39Z
130	56	2006-09-19T11:06:26Z
84	56	2006-09-26T14:31:36Z
130	56	2006-10-01T07:04:23Z
130	56	2006-10-02T18:03:14Z
130	56	2006-10-02T18:43:52Z
174	56	2006-10-02T22:57:50Z
130	56	2006-10-06T11:07:26Z
130	56	2006-10-06T11:49:37Z
130	56	2006-10-06T11:50:01Z
153	56	2006-10-07T21:54:40Z
153	56	2006-10-07T21:55:11Z
153	56	2006-10-10T23:28:54Z
153	56	2006-10-12T11:56:35Z
153	56	2006-10-12T11:57:34Z
153	56	2006-10-12T11:58:00Z
153	56	2006-10-12T12:18:16Z
153	56	2006-10-12T12:26:22Z
56	56	2006-10-14T03:08:57Z
239	56	2006-10-14T18:45:39Z
56	56	2006-10-14T21:51:48Z
207	56	2006-10-15T22:49:00Z
69	56	2006-10-19T13:27:36Z
130	56	2006-10-19T13:51:59Z
130	56	2006-10-31T19:31:51Z
229	56	2006-11-01T10:04:24Z
130	56	2006-11-03T06:11:26Z
130	56	2006-11-08T06:45:06Z
130	56	2006-11-09T13:48:24Z
